Feature ID	Taxon	Confidence
66843d1f79146f65d8f0687d72b3c8c9	Bacteria (environmental samples)	0.7057733698842892
0351a95cbe3df6b50086ba40a3561568	Bacteria	0.9970818988288418
80637a5c07c686447baa59a3a786d702	Bacteria	0.7182348152047319
7069fd461cd075b658448716b08d5ce6	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium	0.9991494639376729
4b8eeb621fe6be09120fbac9afb758c0	Bacteria (environmental samples)	0.9999873106767353
3054672d4ac39dfc7576d86b72bee001	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Mesorhizobium	0.9998317785468362
202bd0156fb9ac08f59704891b66defc	Bacteria (environmental samples)	0.9975179739524505
896406141d62555e6aff0a3735a3cca6	Bacteria	0.8459251811144263
f68be925f8de9c4bfcdb1b470000027e	Bacteria (environmental samples)	0.9525761023441699
480eb3e14422626f2e468f2df62186fe	Bacteria (environmental samples)	0.9999094721677221
760aed4d7684d58f27f112c6046d1819	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Afipia	0.9463638777277419
ab032f063f8b5969b2d757e3c8f098de	Bacteria (environmental samples)	0.9999569413219752
f4b258d94375687ff08acf28373a2304	Bacteria (environmental samples)	0.9999893993412433
9aba178217993df3df7061bbb39e928c	Bacteria (environmental samples)	0.994450373488149
cd97fc7b60a45024b6388051b629107d	Bacteria	0.9954078069668099
2e1edd9d2a3a5ede55e2f40fa8436310	Bacteria	0.9999999999999883
24b3a01314cd89ce4564a9023bb18b03	Bacteria	0.9495343985402049
e8546ef8d3c3d9c98c502730ca3c1d77	Bacteria	0.8041271549015337
b3089e3f900ba9429b85f604962dc6db	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Mesorhizobium	0.999997130311808
1a76f3ef484352e41cfcfcac43914d2a	Bacteria (environmental samples)	0.997758030545768
e5e55950954bbbf91f98fb60c5c2522b	Bacteria	0.8737284846036562
c68bc7a005164eb744864f6f481aabf8	Bacteria (environmental samples)	0.9991174961104252
e774ee3606f0d16556aec303068bc776	Bacteria	0.98721588419368
0c6f186a0e4b6464debbe1aaa9988183	Bacteria	0.8661780109781873
e0effc257b9703ba97c981093329da76	Bacteria (environmental samples)	0.9999917142196973
763b63291e949d2fd24660d8b72364b7	Bacteria (environmental samples)	0.9999833724345385
4f51c3ebd18ce78db029b333424e1f43	Bacteria (environmental samples)	0.9996774882275874
858afb5cd698d1fcbdc30d54577fa4ee	Bacteria	0.9996436484340994
